text,airline_sentiment
@JetBlue This could be the beginning of a BLUEtiful relationship :) #lifeneedsfrosting,positive
@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC,negative
@united this customer service experience will be tweeted for quality assurance.,negative
@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly,negative
@united it was eventually explained that weather conditions too extreme to get luggage off planes. Will be sent on. But I won't be for days!,negative
.@JetBlue That's what I planned on but Boston traffic due to recent weather was insane! If I had been expedited I would have made it.,neutral
@USAirways You all work hard at making sure things flow smoothly. Keeping positive.,positive
@JetBlue you know it!!,neutral
@united @rayja9 flying to las vegas out of Chicago flight is Late Flight and no announcement has been made,negative
"@SouthwestAir @tbuccheriFRNC3E. It takes 13.5 hours to fly from Chicago to Beijing on United, and 12 to fly from Vegas to Omaha on SW...",neutral
@USAirways @americanair I feel sorry for AA,negative
@USAirways it is just bad practice and I am disappointed that your airline was not prepared...honestly the last time I fly with you guys,negative
"@USAirways Nightmarish customer service. Further to that, as an elite member, I'm appalled.",negative
"@USAirways ruined our honeymoon by causing us to miss our international flight, and now we are stranded.",negative
@SouthwestAir yes please!,positive
@JetBlue Need your help. I'm moving to DC &amp; I want to book a one way fare on your website. It won't seem to let me. Am I missing something?,negative
@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,neutral
@USAirways can i please have someone call me 781 879 4505,neutral
@united - I think she was having a rough moment w/ a bad passenger from an earlier flight. Things got considerably better. Thanks!,positive
"@SouthwestAir Although the wait was long due to weather r/scheduling, a phone call and super rep solved the issue! Thank you!!",positive
@USAirways flight 1735 sitting fully loaded for over an hour. Air conditioning barely working :-(,negative
"@united worst agents in US at Ft. Lauderdale Airport; passengers stand in line, getting status alerts &amp; still didn't make an announcement",negative
"@united thanks for reaching out. The seat was hard, not enough cushion. OK for short flight. BTW, UA6465 flight and crew were great!",negative
"@USAirways obviously your corporate definition of PATIENCE needs to be reviewed.
#Pleasehurryup #answerphone #reschedulemyflight",negative
@united Old school ride home to LAX from Houston #flyingRetro http://t.co/6asuwx3Kv0,neutral
@SouthwestAir can you tell me if flight 805 from MDW-FLL tomorrow (2/24) is at full capacity?  i'm hoping for a little bit of extra room! 😊,neutral
@americanair never fails to disappoint. waiting at jfk an hour after scheduled take off and still no word on departure,negative
@SouthwestAir Thanks for the info! Have a good day.,positive
@united please help! Left my iPad Air 2 on my flight from NYC to Paris yesterday and can’t get in touch with anyone locally. What to do?,neutral
"@AmericanAir The delay is nothing but the personnel being so combative up to the point of saying ""what's the hury,  the plane is not leaving",negative
"@AmericanAir 3231DTW to LAG at 4:45. Flight Cancelled Flightled with no notice. Given a voucher to a dirty hotel, with no food vouchers or apology.",negative
