Sentence,Sentiment,Cleaned_Sentence
@JetBlue This could be the beginning of a BLUEtiful relationship :) #lifeneedsfrosting,positive,this could be the beginning of a bluetiful relationship lifeneedsfrosting
@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC,negative,maybe one day youll be the one quoted on
@united this customer service experience will be tweeted for quality assurance.,negative,this customer service experience will be tweeted for quality assurance
@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly,negative,gate announcement states delay due to maintenance yet app says late flight arriving aircraft tell the truth
@united it was eventually explained that weather conditions too extreme to get luggage off planes. Will be sent on. But I won't be for days!,negative,it was eventually explained that weather conditions too extreme to get luggage off planes will be sent on but i wont be for days
.@JetBlue That's what I planned on but Boston traffic due to recent weather was insane! If I had been expedited I would have made it.,neutral,thats what i planned on but boston traffic due to recent weather was insane if i had been expedited i would have made it
@USAirways You all work hard at making sure things flow smoothly. Keeping positive.,positive,you all work hard at making sure things flow smoothly keeping positive
@JetBlue you know it!!,neutral,you know it
@united @rayja9 flying to las vegas out of Chicago flight is Late Flight and no announcement has been made,negative,flying to las vegas out of chicago flight is late flight and no announcement has been made
"@SouthwestAir @tbuccheriFRNC3E. It takes 13.5 hours to fly from Chicago to Beijing on United, and 12 to fly from Vegas to Omaha on SW...",neutral,it takes 135 hours to fly from chicago to beijing on united and 12 to fly from vegas to omaha on sw
@USAirways @americanair I feel sorry for AA,negative,i feel sorry for aa
@USAirways it is just bad practice and I am disappointed that your airline was not prepared...honestly the last time I fly with you guys,negative,it is just bad practice and i am disappointed that your airline was not preparedhonestly the last time i fly with you guys
"@USAirways Nightmarish customer service. Further to that, as an elite member, I'm appalled.",negative,nightmarish customer service further to that as an elite member im appalled
"@USAirways ruined our honeymoon by causing us to miss our international flight, and now we are stranded.",negative,ruined our honeymoon by causing us to miss our international flight and now we are stranded
@SouthwestAir yes please!,positive,yes please
@JetBlue Need your help. I'm moving to DC &amp; I want to book a one way fare on your website. It won't seem to let me. Am I missing something?,negative,need your help im moving to dc amp i want to book a one way fare on your website it wont seem to let me am i missing something
@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,neutral,flight booking problems flight to uphold my status match do taxes on ticket count as earned status points statusmatch virginamerica
@USAirways can i please have someone call me 781 879 4505,neutral,can i please have someone call me 781 879 4505
@united - I think she was having a rough moment w/ a bad passenger from an earlier flight. Things got considerably better. Thanks!,positive,i think she was having a rough moment w a bad passenger from an earlier flight things got considerably better thanks
"@SouthwestAir Although the wait was long due to weather r/scheduling, a phone call and super rep solved the issue! Thank you!!",positive,although the wait was long due to weather rscheduling a phone call and super rep solved the issue thank you
@USAirways flight 1735 sitting fully loaded for over an hour. Air conditioning barely working :-(,negative,flight 1735 sitting fully loaded for over an hour air conditioning barely working
"@united worst agents in US at Ft. Lauderdale Airport; passengers stand in line, getting status alerts &amp; still didn't make an announcement",negative,worst agents in us at ft lauderdale airport passengers stand in line getting status alerts amp still didnt make an announcement
"@united thanks for reaching out. The seat was hard, not enough cushion. OK for short flight. BTW, UA6465 flight and crew were great!",negative,thanks for reaching out the seat was hard not enough cushion ok for short flight btw ua6465 flight and crew were great
"@USAirways obviously your corporate definition of PATIENCE needs to be reviewed.
#Pleasehurryup #answerphone #reschedulemyflight",negative,obviously your corporate definition of patience needs to be reviewed pleasehurryup answerphone reschedulemyflight
@united Old school ride home to LAX from Houston #flyingRetro http://t.co/6asuwx3Kv0,neutral,old school ride home to lax from houston flyingretro
@SouthwestAir can you tell me if flight 805 from MDW-FLL tomorrow (2/24) is at full capacity?  i'm hoping for a little bit of extra room! 😊,neutral,can you tell me if flight 805 from mdwfll tomorrow 224 is at full capacity im hoping for a little bit of extra room smilingfacewithsmilingeyes
@americanair never fails to disappoint. waiting at jfk an hour after scheduled take off and still no word on departure,negative,never fails to disappoint waiting at jfk an hour after scheduled take off and still no word on departure
@SouthwestAir Thanks for the info! Have a good day.,positive,thanks for the info have a good day
@united please help! Left my iPad Air 2 on my flight from NYC to Paris yesterday and can’t get in touch with anyone locally. What to do?,neutral,please help left my ipad air 2 on my flight from nyc to paris yesterday and cant get in touch with anyone locally what to do
"@AmericanAir The delay is nothing but the personnel being so combative up to the point of saying ""what's the hury,  the plane is not leaving",negative,the delay is nothing but the personnel being so combative up to the point of saying whats the hury the plane is not leaving
"@AmericanAir 3231DTW to LAG at 4:45. Flight Cancelled Flightled with no notice. Given a voucher to a dirty hotel, with no food vouchers or apology.",negative,3231dtw to lag at 445 flight cancelled flightled with no notice given a voucher to a dirty hotel with no food vouchers or apology
"@AmericanAir Flight Cancelled Flightled, can't go home until tomorrow. I could use dinner and a play, @AmericanAir! It's my first time in NYC.",negative,flight cancelled flightled cant go home until tomorrow i could use dinner and a play its my first time in nyc
@AmericanAir “Inconvenient” is such a convenient word.,negative,inconvenient is such a convenient word
@JetBlue no. Did not catch his name. I am sure Jason will know.,neutral,no did not catch his name i am sure jason will know
@SouthwestAir @Imaginedragons please help me and my best friend get tickets to #DestinationDragons we have so much to thank them for....,neutral,please help me and my best friend get tickets to destinationdragons we have so much to thank them for
@VirginAmerica everything was fine until you lost my bag,negative,everything was fine until you lost my bag
@AmericanAir Cancelled Flightled 2 of my flights for maintenance. Customer service desk is empty... Can I get a hotel at least? http://t.co/ypbkCiRBXu,negative,cancelled flightled 2 of my flights for maintenance customer service desk is empty can i get a hotel at least
@USAirways surely there are some other ways to help me - I can't really afford another 4 hours now. Pls follow me so we can DM,negative,surely there are some other ways to help me i cant really afford another 4 hours now pls follow me so we can dm
Is expiring the @united offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year http://t.co/6tz6imqZlG,positive,is expiring the offer to buy or transfer united mileageplus miles with discount many offers during a year
@JetBlue figured but delay is listed at almost 2 hrs. Thanks for being great! Cheers,negative,figured but delay is listed at almost 2 hrs thanks for being great cheers
@JetBlue nothing but praise for you helping our lady make her flight to CHS tonight!  #impressed,positive,nothing but praise for you helping our lady make her flight to chs tonight impressed
@AmericanAir help http://t.co/hYrAo7A4Uu,neutral,help
@usairways  this is ridiculous at CLT  and we missed our connecting flight because of a chuckhole  on runway??  #shameful (1/1),negative,this is ridiculous at clt and we missed our connecting flight because of a chuckhole on runway shameful 11
"@USAirways 
Good news, we got fixed.",positive,good news we got fixed
can you not? RT @JetBlue Our fleet's on fleek. http://t.co/413GiAL0yl,negative,can you not rt our fleets on fleek
"@USAirways Now I am probably going to miss my connection in Charlotte, so I will have to drive home for the funeral.",negative,now i am probably going to miss my connection in charlotte so i will have to drive home for the funeral
@AmericanAir no date on when revieving our money sent a letter in post and several emails no reply?? very frustrated,negative,no date on when revieving our money sent a letter in post and several emails no reply very frustrated
@united is screwing with my flights again at CAE? Why do you bother having flights here if they never leave on time or get Cancelled Flighted?,negative,is screwing with my flights again at cae why do you bother having flights here if they never leave on time or get cancelled flighted
@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless,negative,why would i even consider continuing your point program when i received no perks or continued bad customer service senseless
@USAirways thank you for refunding my bag fee.  I look forward to its return today I hope.,positive,thank you for refunding my bag fee i look forward to its return today i hope
@VirginAmerica happy to spend the day together. Let's do this!,positive,happy to spend the day together lets do this
@JetBlue Follow me pls?,neutral,follow me pls
@AmericanAir the worst air experience I have ever had and I am not in the first plane yet.,negative,the worst air experience i have ever had and i am not in the first plane yet
@united Missed KTM flight due to ur Cancelled Flightlation. Mike supervisor disgusting.  Now day Late Flight. No apology or upgrade offer to LHR from ORD???,negative,missed ktm flight due to ur cancelled flightlation mike supervisor disgusting now day late flight no apology or upgrade offer to lhr from ord
@united one hour after departure time and still no update!,negative,one hour after departure time and still no update
@AmericanAir thx for responding. I cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating,negative,thx for responding i cant watch 2 mins of this film wout it cutting in and out 4 prolonged prds of time beyond frustrating
@USAirways seriously? Every flight I have had the past 2 days has been delayed. Every single one. Terrible,negative,seriously every flight i have had the past 2 days has been delayed every single one terrible
@SouthwestAir @SouthwestOliver that's a great FA right there.,positive,thats a great fa right there
@SouthwestAir honesty should always be the policy,neutral,honesty should always be the policy
"@USAirways: u didn't bother following up, we booked with @Delta.  @Delta understands cust srv: provided lunch 4 delays &amp; upgraded seats!",negative,u didnt bother following up we booked with understands cust srv provided lunch 4 delays amp upgraded seats
"“@USAirways: We're sincerely sorry, Sean. Reservations is working hard to answer everyone's call and we appreciate your patience.” #false",negative,were sincerely sorry sean reservations is working hard to answer everyones call and we appreciate your patience false
@AmericanAir you know nothing about customer service and I'll make sure everyone knows it,negative,you know nothing about customer service and ill make sure everyone knows it
"@USAirways Awesome USAir, TYSVM &lt;3",positive,awesome usair tysvm lt3
@JetBlue CEO battles to please Wall St and flyers - from @NZherald http://t.co/Q4Amiw7FSw,neutral,ceo battles to please wall st and flyers from
@SouthwestAir Thnx. Hopefully it's just on the nxt flight up. I've got 3 shows this wknd. Worst case I'll just turn my sweatshirt inside out,negative,thnx hopefully its just on the nxt flight up ive got 3 shows this wknd worst case ill just turn my sweatshirt inside out
"“@JetBlue: Our fleet's on fleek. http://t.co/g97HAbyeP5”

SMH",neutral,our fleets on fleek smh
"@AmericanAir Thanks, but that results in missing the conference I'm attending. Are there options to book earlier,or if not,receive a refund?",negative,thanks but that results in missing the conference im attending are there options to book earlieror if notreceive a refund
"@JetBlue come on! Already delayed 2+ hrs on flight 1415 as we waited for the pilot to come from Boston, now you reassign him?! Endless trip.",negative,come on already delayed 2 hrs on flight 1415 as we waited for the pilot to come from boston now you reassign him endless trip
@united Is flight 5001 really going to leave Newark today?  If not tell us now and I will rent a car.  I do not want to end up stranded.,negative,is flight 5001 really going to leave newark today if not tell us now and i will rent a car i do not want to end up stranded
@JetBlue received a voucher but if you want to improve relations be up front with passengers.,negative,received a voucher but if you want to improve relations be up front with passengers
@JetBlue on hold for 30 mins placed on hold then hung up on 2nd time in 2 days Only looking for group rates. BOS-SJU 5-12 to 5-19 10 people,negative,on hold for 30 mins placed on hold then hung up on 2nd time in 2 days only looking for group rates bossju 512 to 519 10 people
@AmericanAir we had to sit in the airport a long periolodicly time. the planes were nasty,negative,we had to sit in the airport a long periolodicly time the planes were nasty
@JetBlue Thank you. Fingers crossed.,positive,thank you fingers crossed
@united Tell me that you're at least going to cover a room and get me out of here.,negative,tell me that youre at least going to cover a room and get me out of here
@SouthwestAir  the agents werenot helpful told me I would have to pay 2chng even though I Tld them going2 bwi whch is part of trvl advsry,negative,the agents werenot helpful told me i would have to pay 2chng even though i tld them going2 bwi whch is part of trvl advsry
@USAirways then drop your fee! $150 ($300RT!!!!) makes no sense; most EU airlines charge $0. @AirCanada charges a reasonable $50.,negative,then drop your fee 150 300rt makes no sense most eu airlines charge 0 charges a reasonable 50
@SouthwestAir but to make us tru to find space in other flights.  This customer service is as bad as @SpiritAirlines.,negative,but to make us tru to find space in other flights this customer service is as bad as
"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN",negative,customer service is atrocious you have disrupted my travel plans you have lost my luggage and it is impossible to talk to a human
@AmericanAir why is raleigh not on the updated southern states advisory???,negative,why is raleigh not on the updated southern states advisory
@JetBlue Awesome! #bestairlineever,positive,awesome bestairlineever
@JetBlue it says it is now 9:58 you owe me,negative,it says it is now 958 you owe me
@JetBlue now when I call it's still at the warehouse and might be going out tonight,negative,now when i call its still at the warehouse and might be going out tonight
"@AmericanAir Extend rtn flight to bereavement, 22nd I could have change fee dropped, now told no.Worse day of my life #badcustomerservice",negative,extend rtn flight to bereavement 22nd i could have change fee dropped now told noworse day of my life badcustomerservice
.@JetBlue process begins 6:48,neutral,process begins 648
@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.,negative,is there a better time to call my flight is on friday and i need to change it worried i may be on hold until then
@AmericanAir thank you for the update!,positive,thank you for the update
"@JetBlue I would like to communicate directly with a ""Customer Experience"" executive. Does Joanna Geraghty have an email address?",negative,i would like to communicate directly with a customer experience executive does joanna geraghty have an email address
@united is UA938 still taking off at 9:05pm? I'm stuck on the tarmac on UA3462 waiting to get in.,negative,is ua938 still taking off at 905pm im stuck on the tarmac on ua3462 waiting to get in
"@JetBlue here's part: was at bag drop inserted my JetBlue cc, didn't print pass. Agent standing in front of me refused to print my pass",negative,heres part was at bag drop inserted my jetblue cc didnt print pass agent standing in front of me refused to print my pass
@SouthwestAir I've DM'd you. Thanks!,positive,ive dmd you thanks
@AmericanAir boarding in 2mins YAY!!!!,neutral,boarding in 2mins yay
@USAirways any travel advisory coming for the Carolinas?  Bad weather!,neutral,any travel advisory coming for the carolinas bad weather
@united Thanks for the reminder. It's been a fun ride. http://t.co/pPVA4Rch9f,positive,thanks for the reminder its been a fun ride
@united FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail,negative,flt 3444 delayed because of maintenance thats fixed but cant board because flight crew didnt stay in boarding area fail
@USAirways been trying for weeks no use,negative,been trying for weeks no use
@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.,negative,by the time i finally get to dallas i could have driven with less frustration and cheaper
@JetBlue Landed at MCO before 9am and still don't have my bag. You were supposed to give it to Disney's Magical Express this AM.I am livid!,negative,landed at mco before 9am and still dont have my bag you were supposed to give it to disneys magical express this ami am livid
@USAirways Official time of call 3 hours 10 minutes but must add for 7 minutes your reservation agent was extremely professional and helpful,negative,official time of call 3 hours 10 minutes but must add for 7 minutes your reservation agent was extremely professional and helpful
@AmericanAir thanks for the great customer service. Family made it back to SAT safely. The weather at DFW made things a little worrisome.,positive,thanks for the great customer service family made it back to sat safely the weather at dfw made things a little worrisome
@VirginAmerica save some for 871 tomorrow AM!,neutral,save some for 871 tomorrow am
"@USAirways my flight got Cancelled Flightled to Charlotte. Been on hold for an hour, pls pick up!",negative,my flight got cancelled flightled to charlotte been on hold for an hour pls pick up
"@AmericanAir @BoeingAirplanes I really would love to experience first class on that plane,looks stunning!",positive,i really would love to experience first class on that planelooks stunning
@USAirways Fortunately you have staff like Lynn S. and DeeDee who actually understand customer service and simply being NICE.,neutral,fortunately you have staff like lynn s and deedee who actually understand customer service and simply being nice
👉🚪RT @JetBlue: Our fleet's on fleek. http://t.co/dSDEbodmEL,neutral,backhandindexpointingright door rt our fleets on fleek
@AmericanAir Considering it was purchased on the 21st and I attempted to use it again on the 21st I believe it would fit these parameters.,neutral,considering it was purchased on the 21st and i attempted to use it again on the 21st i believe it would fit these parameters
@AmericanAir why does your RTW planner (spec. Circle Pacific) not let me even plan the demo routes from your website?,negative,why does your rtw planner spec circle pacific not let me even plan the demo routes from your website
@USAirways disappointment? Making own arrangements for me &amp; my sleeping toddler with zero assistance from USAir is maddening.,negative,disappointment making own arrangements for me amp my sleeping toddler with zero assistance from usair is maddening
@USAirways horrible cust service exp at DIA today. Wife waited 3 hrs on the plane b/f flight 695 was Cancelled Flightled. Still waiting for bags.,negative,horrible cust service exp at dia today wife waited 3 hrs on the plane bf flight 695 was cancelled flightled still waiting for bags
"@JetBlue @_justdippin_ drops a new video off the upcoming project #TheTakeover, produced by YpOnTheBeat https://t.co/IKQBdZA7TN RT",neutral,drops a new video off the upcoming project thetakeover produced by yponthebeat rt
@united I need help with a missing bag.,negative,i need help with a missing bag
@JetBlue it seems almost inconceivable that sitting a 5 year old alone is considered okay. But this guy thinks so. http://t.co/q9n6NZYSpK,negative,it seems almost inconceivable that sitting a 5 year old alone is considered okay but this guy thinks so
@united thank you! Love united!! Have 4 flights today!,positive,thank you love united have 4 flights today
"@united @danahajek : she means to say there has been so many complaints today (this week, this month) that she can't respond b/c she's alone",negative,she means to say there has been so many complaints today this week this month that she cant respond bc shes alone
@USAirways we haven't departed yet so let's not get too high hopes.  But everything has been on schedule so far,positive,we havent departed yet so lets not get too high hopes but everything has been on schedule so far
"@JetBlue Yoga it is. TV service seems to be down though :-(
I look forward to that do much!",negative,yoga it is tv service seems to be down though i look forward to that do much
@SouthwestAir waited 34 mins for baggage MDW&gt;MEM and the in-flight service was suspended so no drink 😕,negative,waited 34 mins for baggage mdwgtmem and the inflight service was suspended so no drink confusedface
@AmericanAir is that the flight for tomorrow?,neutral,is that the flight for tomorrow
@united false.,negative,false
"@united Okay, thank you for your help :)",positive,okay thank you for your help
@JetBlue Airways Adds New Charter #Flight to Cuba - #Travel Wires (blog) http://t.co/Swb1gR57Cc,neutral,airways adds new charter flight to cuba travel wires blog
@USAirways how do you do that? You guys need to have much better communication. How? How can we do that?,negative,how do you do that you guys need to have much better communication how how can we do that
@USAirways I finally got through on the phone after a 2 hour wait time.,negative,i finally got through on the phone after a 2 hour wait time
@united no they aren't - I just called to check. #WORSTCUSTOMERSERVICE,negative,no they arent i just called to check worstcustomerservice
@JetBlue thanks for making me miss an important dinner tonight. 2 hr delay and now 20 min on Tarmac... #worst,negative,thanks for making me miss an important dinner tonight 2 hr delay and now 20 min on tarmac worst
"@SouthwestAir yes, please #companionpass",neutral,yes please companionpass
@united WHy is my KTN not showing on my boarding?  Why is TSA pre-check not applying to my boarding pass?,neutral,why is my ktn not showing on my boarding why is tsa precheck not applying to my boarding pass
@SouthwestAir why are the ticketing lines in Las Vegas so unorganized??  Mass craziness. Half of the ticketing stations unmanned.,negative,why are the ticketing lines in las vegas so unorganized mass craziness half of the ticketing stations unmanned
"@AmericanAir we are off to Kax premium.  Hoping this flight is better food, TV now I know how to work it and service. Tnx",positive,we are off to kax premium hoping this flight is better food tv now i know how to work it and service tnx
@united now maintenance issues with flight 5639 and more issues with passengers that will miss connections needing to get off,negative,now maintenance issues with flight 5639 and more issues with passengers that will miss connections needing to get off
@JetBlue can you DM?,neutral,can you dm
@JetBlue thanks to the gent on the phone who fixed my BOS-MCO flight and the fee waiver! A320 now :) #flyfi ! I forget her name :(,positive,thanks to the gent on the phone who fixed my bosmco flight and the fee waiver a320 now flyfi i forget her name
@AmericanAir I'm still on hold if you're wondering...  4 hours 37 minutes and counting.  #ServiceFail #OnHoldForever #Suboptimal,negative,im still on hold if youre wondering 4 hours 37 minutes and counting servicefail onholdforever suboptimal
"@AmericanAir To announce DURING BOARDING that you chose to limit catering to the point that you WILL run out shows a lack of planning, IMO.",negative,to announce during boarding that you chose to limit catering to the point that you will run out shows a lack of planning imo
@USAirways got this message on your site to call about my flight - just gave up after being on hold for 3 HOURS! http://t.co/5cDX2ROAE6,negative,got this message on your site to call about my flight just gave up after being on hold for 3 hours
"Social agencies, this is why we can't have nice things. @JetBlue: Our fleet's on fleek. http://t.co/QRxz0bGbtq",negative,social agencies this is why we cant have nice things our fleets on fleek
"@USAirways to CLT from JFK nasty planes, dirty seats &amp; floors, rude flight attendants- hopefully AA can get you cleaned up #disgusting #vile",negative,to clt from jfk nasty planes dirty seats amp floors rude flight attendants hopefully aa can get you cleaned up disgusting vile
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative,hey first time flyer next week excited but im having a hard time getting my flights added to my elevate account help
"@AmericanAir Thanks for asking On second plane after maintenance issue, for flight from ORD to LIT. Sitting at gate in very very warm plane",positive,thanks for asking on second plane after maintenance issue for flight from ord to lit sitting at gate in very very warm plane
@AmericanAir Trying to get my flight changed through dallas. Calling your number just says thanks for calling and hangs up. Guess I'm stuck,negative,trying to get my flight changed through dallas calling your number just says thanks for calling and hangs up guess im stuck
@united @perfectomobile You really shouldn't use the word 'crashing.' Just sayin'.,neutral,you really shouldnt use the word crashing just sayin
@united installed and working are not the same. Kicked me out after an hour and wouldn't let me back in. Four wasted hours.,negative,installed and working are not the same kicked me out after an hour and wouldnt let me back in four wasted hours
@AmericanAir any delays on tonight's flight from DFW to SAT? I have family members on board.,neutral,any delays on tonights flight from dfw to sat i have family members on board
@JetBlue oh definitely. I kind of only fly JetBlue.,positive,oh definitely i kind of only fly jetblue
@united Slightly better. Crew spent a long time searching for better altitude. Would have helped to let pax in on why all the sharp drops.,negative,slightly better crew spent a long time searching for better altitude would have helped to let pax in on why all the sharp drops
@JetBlue I hope so. Wanted an early flight to avoid the airport chaos but it's too Late Flight for that!,negative,i hope so wanted an early flight to avoid the airport chaos but its too late flight for that
@united I DM'd child's birthdate and full name.,neutral,i dmd childs birthdate and full name
"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes.",positive,love it taking on in their backyard consumers win when biz competes
@United can you help me get from IAH to SFO earlier tonight?,neutral,can you help me get from iah to sfo earlier tonight
@united rude rude,negative,rude rude
"@USAirways will do.  maybe the pre-purchase meal email is because the flight is 9 min short of 3 hours, so I guess there are none offered",negative,will do maybe the prepurchase meal email is because the flight is 9 min short of 3 hours so i guess there are none offered
