Sentence,Sentiment,Cleaned_Sentence,Is_Augmented,Technique
why is my ktn not showing on my boarding why is tsa precheck not applying to my boarding pass,neutral,why is my ktn not showing on my school why is tsa precheck not applying to my pass pass,True,bert_paraphrasing
i had exceptional service on flight 403 from ind to phx,positive,i had exceptional service on flight 403 from london to phx,True,bert_paraphrasing
do you have bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week,neutral,do you have bereavement discount on hearing as my grandfather just passed and need to attend his funeral this such,True,bert_paraphrasing
are flights from columbus ohio to dallas texas cancelled flighted,neutral,are flights from columbus ohio to miami texas cancelled flighted,True,bert_paraphrasing
thanks for the reminder its been a fun ride,positive,thanks for the compliment its been a fun ride,True,bert_paraphrasing
@AmericanAir why don't you take care of @Cowboycerrone flight screw ups,negative,why dont you take care of flight screw ups,False,original
denver to phoenix i think were finally getting ready to take off,neutral,denver to phoenix i think were finally getting ready deal to take off,True,random_insertion
so happy that you can finally put your southwestairlines boarding pass into passbook makes life so much easier airplane,positive,so own that you can finally put your much boarding pass into passbook makes life so much easier airplane,True,bert_paraphrasing
happens every time in and out of newark,neutral,happens over time in and out of newark,True,bert_paraphrasing
@JetBlue I can't do that flight. I need a Late Flightr one! I need you to change my flight. You guys changed it and now I can't do that time!,negative,i cant do that flight i need a late flightr one i need you to change my flight you guys changed it and now i cant do that time,False,original
"@USAirways  I have a party of 4 booked for a flight in Aug. At 10:05am, how can I find out how much it would cost to change to an earlier fl",neutral,i have a party of 4 booked for a flight in aug at 1005am how can i find out how much it would cost to change to an earlier fl,False,original
@USAirways will you fly me to somewhere warm? I'm tired of this snow! :(,negative,will you fly me to somewhere warm im tired of this snow,False,original
"@united your website is fucked up. Now instead of a $416 flight I should’ve had yesterday, it’s $514 today. Thanks.",negative,your website is fucked up now instead of a 416 flight i shouldve had yesterday its 514 today thanks,False,original
thank you its much appreciated we have been on the plane for 90 min now at the gate,positive,thank you its much appreciated we have been on the sheet for 90 min now at the gate,True,synonym_replacement
@SouthwestAir LUV! your new Luv Television Commercials. Traveled on your airline last year return trip from NYC...#feltthelove,positive,luv your new luv television commercials traveled on your airline last year return trip from nycfeltthelove,False,original
@JetBlue flight 117. proud to fly Jet Blue!,positive,flight 117 proud to fly jet blue,False,original
@united in ORD hotel issued to my 4yr old. Tickets needed fixing again another hour and 5 agents l8r nightmare still not over,negative,in ord hotel issued to my 4yr old tickets needed fixing again another hour and 5 agents l8r nightmare still not over,False,original
@USAirways thank you finally got our bag. Customer services reps were wonderful.,positive,thank you finally got our bag customer services reps were wonderful,False,original
s ceo battles to appease passengers and wall street waterbury republican american,neutral,s ceo wanted to appease passengers and wall street waterbury republican american,True,bert_paraphrasing
great job celebrating mardigras2015 you own the industry another reason im nuts for you,positive,great world the mardigras2015 you own the industry another reason im nuts for you,True,bert_paraphrasing
"@united hey, it's 4am, guess what I'm doing? Not sleeping! Why? Cause you care so little about your customers you let them sleep in airports",negative,hey its 4am guess what im doing not sleeping why cause you care so little about your customers you let them sleep in airports,False,original
i had exceptional service on flight 403 from ind to phx,positive,i exceptional service on flight 403 from ind phx,True,random_deletion
@USAirways will I get the full amount credited to my account for US Airways credit?,neutral,will i get the full amount credited to my account for us airways credit,False,original
thank you we are signed up for notifications we shall watch and wait snowflake snowflake,neutral,thank you we are signed up for sing we shall watch and this snowflake snowflake,True,bert_paraphrasing
redcarpet southwest companion pass would be great,positive,redcarpet southwest with child companion pass would be great,True,random_insertion
@SouthwestAir chances of flight leaving BNA tomorrow at 6:20 am (to LGA)?,neutral,chances of flight leaving bna tomorrow at 620 am to lga,False,original
is there anyway to pay more to get priority boarding a 115,neutral,is there anyway to pay more to get by boarding a 115,True,bert_paraphrasing
traveling from fra thru iad to mco tomorrow concerned abt iad weather cant change until advisory issued any advice,neutral,traveling from fra thru iad to mco tomorrow concerned abt iad upwind cant change until advisory issued any advice,True,synonym_replacement
"@AmericanAir offered me a cot to sleep on?After they Cancelled Flightled my flight. A fucking cot. What about a hotel, like you're supposed to provide",negative,offered me a cot to sleep onafter they cancelled flightled my flight a fucking cot what about a hotel like youre supposed to provide,False,original
rt our fleets on fleek,neutral,rt our pass off on fleek,True,synonym_replacement
thank you its much appreciated we have been on the plane for 90 min now at the gate,positive,thank you its much appreciated we have been on the plane for 90 office now at the hours,True,bert_paraphrasing
@AmericanAir I have to miss a whole days worth of work tomorrow but I'm suree you guys don't care,negative,i have to miss a whole days worth of work tomorrow but im suree you guys dont care,False,original
thanks for the reupgrade to 1st class it may be a 45 min flight but it is appreciated,positive,thanks for the reupgrade to 1st class it prize may be a 45 min flight but it is appreciated,True,random_insertion
@USAirways / @AmericanAir are incompetent.,negative,are incompetent,False,original
@AmericanAir @USAirways need to be reported to the @BBB_media for their complete disregard for paying customers! #DoNotFlyWithThem,negative,need to be reported to the for their complete disregard for paying customers donotflywiththem,False,original
@SouthwestAir flt 3260 out of mht. Have fun with my kids and grandkids 10 of them!!  Jack says hi! http://t.co/BHOOiyT6ZQ,neutral,flt 3260 out of mht have fun with my kids and grandkids 10 of them jack says hi,False,original
"@JetBlue Yoga it is. TV service seems to be down though :-(
I look forward to that do much!",negative,yoga it is tv service seems to be down though i look forward to that do much,False,original
@USAirways she also appreciated having her very own hashtag! :) #lucycat,positive,she also appreciated having her very own hashtag lucycat,False,original
@JetBlue we need an ETA please,negative,we need an eta please,False,original
is it on a flight now thanks for reply,neutral,is it on a flight now give thanks for reply,True,synonym_replacement
@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12,negative,they helped me at the baggage service desk said bc tsa screening was down in fll not all bags made it but bag will be in ewr 12,False,original
@USAirways 1729 connecting in charlotte to houston. Mechanical issue determined while q'd to take off. And we checked our bags.,negative,1729 connecting in charlotte to houston mechanical issue determined while qd to take off and we checked our bags,False,original
@united very poor customer service. I WILL think again befor Flight Booking Problems another United flight.,negative,very poor customer service i will think again befor flight booking problems another united flight,False,original
i mean probably inappropriate while on board but its on,positive,i mean in all probability inappropriate while on board but its on,True,synonym_replacement
gave a credit for my late flight flight yesterday great service thats a wow moment unexpected gesture,positive,gave a credit for my late flight flight yesterday great service thats a rather and unexpected gesture,True,bert_paraphrasing
"@united Hi there, looks like my connection is delayed too so I'll make it. Thanks!",positive,hi there looks like my connection is delayed too so ill make it thanks,False,original
@united I need help with a missing bag.,negative,i need help with a missing bag,False,original
@AmericanAir please email me at temorris2010@hotmail.com. willing to discuss my experience &amp; give another try would like to speak directly,neutral,please email me at temorris2010com willing to discuss my experience amp give another try would like to speak directly,False,original
@USAirways horrible cust service exp at DIA today. Wife waited 3 hrs on the plane b/f flight 695 was Cancelled Flightled. Still waiting for bags.,negative,horrible cust service exp at dia today wife waited 3 hrs on the plane bf flight 695 was cancelled flightled still waiting for bags,False,original
love it taking on in their backyard consumers win when biz competes,positive,love it consumer taking on in their backyard consumers win when biz competes,True,random_insertion
@AmericanAir which one.?i have been booked on 6 different ones in the past 2 days,negative,which onei have been booked on 6 different ones in the past 2 days,False,original
any travel advisory coming for the carolinas bad weather,neutral,any travel advisory coming for the carolinas bad upwind,True,synonym_replacement
@AmericanAir many trips coming up!  I will see you soon 😃,positive,many trips coming up i will see you soon grinningfacewithbigeyes,False,original
"@united worst agents in US at Ft. Lauderdale Airport; passengers stand in line, getting status alerts &amp; still didn't make an announcement",negative,worst agents in us at ft lauderdale airport passengers stand in line getting status alerts amp still didnt make an announcement,False,original
can you help me get from iah to sfo earlier tonight,neutral,can you help me get from london to sfo earlier tonight,True,bert_paraphrasing
@USAirways Flight 830 CLT to Phl. I was 1st on list.Someone else got spot. Rude employee in coach. Wouldt give ID. Said he was cute red head,negative,flight 830 clt to phl i was 1st on listsomeone else got spot rude employee in coach wouldt give id said he was cute red head,False,original
thank you for not cancelled flighting all flights and putting my husbands life in danger driving in this weather safetyfirst,positive,thank you for not placing flighting all flights and only my husbands life in danger driving in this weather safetyfirst,True,bert_paraphrasing
thank you for not cancelled flighting all flights and putting my husbands life in danger driving in this weather safetyfirst,positive,thank you for not out flighting all nearly and putting my husbands life in danger here in this weather safetyfirst,True,bert_paraphrasing
any travel advisory coming for the carolinas bad weather,neutral,any travel expenses coming for the carolinas bad weather,True,bert_paraphrasing
"@united first you lost all my bags, now you Cancelled Flight my flight home. 30 min wait to talk to somebody #poorservice #notgoodenough",negative,first you lost all my bags now you cancelled flight my flight home 30 min wait to talk to somebody poorservice notgoodenough,False,original
i would prefer a similar picture but full of e190 tails but great shot,positive,i would prefer a similar picture but full of e190 tails but great dead reckoning,True,synonym_replacement
"@united Brian at SFO customer service deserves a raise, gave me extra meal voucher and a good joke to cheer me up after flight delay. #FTW",positive,brian at sfo customer service deserves a raise gave me extra meal voucher and a good joke to cheer me up after flight delay ftw,False,original
no problem he was the only person in the airport who would help,positive,no wonder he was the only person in the airport who would help,True,bert_paraphrasing
made the upgrade list will fly 1st tomorrow for 40 min for the first time ever raisinghands statusmatchpaidoff,positive,made the upgrade list will fly 1st tomorrow for 40 min for amoy the first time ever raisinghands statusmatchpaidoff,True,random_insertion
oh definitely i kind of only fly jetblue,positive,oh definitely i unquestionably kind of only fly jetblue,True,random_insertion
@united my bag is a few days Late Flight to me and this is like the 3rd time in the past couple months.  Where my free miles at?!,negative,my bag is a few days late flight to me and this is like the 3rd time in the past couple months where my free miles at,False,original
has dc thinking about summer with new nantucket service broadway world,neutral,has dc written about summer with new nantucket service broadway world,True,bert_paraphrasing
well thanks for not charging me for switching my two cancelled flightled flights anyway that was pretty nice stillmakingmepoorthough,positive,well thanks for maine not charging me for switching my two cancelled flightled flights anyway that was pretty nice stillmakingmepoorthough,True,random_insertion
@USAirways Can you help me add a AAdvantage number and known traveler number to a reservation?,neutral,can you help me add a aadvantage number and known traveler number to a reservation,False,original
@VirginAmerica save some for 871 tomorrow AM!,neutral,save some for 871 tomorrow am,False,original
gave a credit for my late flight flight yesterday great service thats a wow moment unexpected gesture,positive,gave a credit for my late flight flight yesterday great and news a wow moment unexpected gesture,True,bert_paraphrasing
@united on 4124 arriving two hours Late Flight into CLT. Now sitting on the tarmac while they move a plane from the gate. Unhappy customer.,negative,on 4124 arriving two hours late flight into clt now sitting on the tarmac while they move a plane from the gate unhappy customer,False,original
all good beers and oscars2015 ar dia,positive,all good movies and oscars2015 ar dia,True,bert_paraphrasing
@AmericanAir Or u cud answer my ? here! 140 is plenty. Inflight stealing going on right now &amp; FA won't have the uncomfortable convo w pass.,negative,or u cud answer my here 140 is plenty inflight stealing going on right now amp fa wont have the uncomfortable convo w pass,False,original
no did not catch his name i am sure jason will know,neutral,no did not take in his name i am sure jason will know,True,synonym_replacement
fantastic job by your people today on ua22 from dublin a jam packed plane but the crew was wonderful,positive,fantastic job by your people today on hoi polloi ua22 from dublin a jam packed plane but the crew was wonderful,True,random_insertion
you set a schedule try and keep it aaalwayslate flight,neutral,you set a schedule try and keep it on flight,True,bert_paraphrasing
@united @perfectomobile You really shouldn't use the word 'crashing.' Just sayin'.,neutral,you really shouldnt use the word crashing just sayin,False,original
listen im not gonna deny this but rt our fleets on fleek,neutral,listen im not gonna deny this but get our fleets on fleek,True,bert_paraphrasing
can i please have someone call me 781 879 4505,neutral,can i please have mortal call me 781 879 4505,True,synonym_replacement
@JetBlue There's just so many choices for y'all south of the border and I know not every airline is equal - lowest price != best value. ;),positive,theres just so many choices for yall south of the border and i know not every airline is equal lowest price best value,False,original
wow this just blew my mind,positive,wow this just go down on my mind,True,synonym_replacement
@SouthwestAir Any plans to implement a call-back system on your reFlight Booking Problems line? Been on hold for over an hour now...,negative,any plans to implement a callback system on your reflight booking problems line been on hold for over an hour now,False,original
@USAirways  my flight was #3729...but I left my phone on the plane or the shuttle :(,neutral,my flight was 3729but i left my phone on the plane or the shuttle,False,original
@united those whose pay to actually fly with you over 30k/ year deserve better service than a CC holder.,negative,those whose pay to actually fly with you over 30k year deserve better service than a cc holder,False,original
"@SouthwestAir What's with the pricing cache?! About to book a flight, refreshed the page, &amp; the price jumped from $73 to $159. Ridiculous. 😑",negative,whats with the pricing cache about to book a flight refreshed the page amp the price jumped from 73 to 159 ridiculous expressionlessface,False,original
redcarpet southwest companion pass would be great,positive,redcarpet southwest companion cash in ones chips would be great,True,synonym_replacement
@SouthwestAir stop Cancelled Flighting my flight I have US history tests to take and chemistry things to learn do you not understand!!!!!!!!!,negative,stop cancelled flighting my flight i have us history tests to take and chemistry things to learn do you not understand,False,original
@united i will never fly with you again. i went on vacation this week and you lost my bags both ways. now i have no clothes. thankyou,negative,i will never fly with you again i went on vacation this week and you lost my bags both ways now i have no clothes thankyou,False,original
we havent departed yet so lets not get too high hopes but everything has been on schedule so far,positive,we havent departed yet so try not get too high hopes but everything has been on track so far,True,bert_paraphrasing
we willsunday just a few days away,positive,we willsunday just a few days out,True,synonym_replacement
@SouthwestAir why are yall trying to fly me to Chicago when I don't live there?! Send me home now!!!! Bullshit ass customer service,negative,why are yall trying to fly me to chicago when i dont live there send me home now bullshit ass customer service,False,original
@JetBlue you know it!!,neutral,you know it,False,original
"@AmericanAir Thanks, but that results in missing the conference I'm attending. Are there options to book earlier,or if not,receive a refund?",negative,thanks but that results in missing the conference im attending are there options to book earlieror if notreceive a refund,False,original
i had exceptional service on flight 403 from ind to phx,positive,i had exceptional speed on flight 403 from ind to phx,True,bert_paraphrasing
"@united Great!  I'm guessing you were Late Flight to open, service is horrible, you're overcharging, and don't care that everyone is miserable.",negative,great im guessing you were late flight to open service is horrible youre overcharging and dont care that everyone is miserable,False,original
"@AmericanAir Thanks for asking On second plane after maintenance issue, for flight from ORD to LIT. Sitting at gate in very very warm plane",positive,thanks for asking on second plane after maintenance issue for flight from ord to lit sitting at gate in very very warm plane,False,original
can i please have someone call me 781 879 4505,neutral,can i please have someone shout me 781 879 4505,True,synonym_replacement
@JetBlue But jet blue had Cancelled Flighted my ticket &amp; never reissued it.,negative,but jet blue had cancelled flighted my ticket amp never reissued it,False,original
@SouthwestAir Please bring back RDU to FLL direct route!  I noticed it is missing starting in Late Flight August!  The flights are always packed!,neutral,please bring back rdu to fll direct route i noticed it is missing starting in late flight august the flights are always packed,False,original
is it on a flight now thanks for reply,neutral,is it on a flight now wait for reply,True,bert_paraphrasing
fantastic job by your people today on ua22 from dublin a jam packed plane but the crew was wonderful,positive,fantastic job by your people today on ua22 from in a jam packed plane but the result was wonderful,True,bert_paraphrasing
@AmericanAir  it's not cool that my flight was Cancelled Flightled after sitting on the plane for over an hour. 👎😡✈️ #notahappycustomer #leavingtomm,negative,its not cool that my flight was cancelled flightled after sitting on the plane for over an hour thumbsdown enragedface airplane notahappycustomer leavingtomm,False,original
@united Missed KTM flight due to ur Cancelled Flightlation. Mike supervisor disgusting.  Now day Late Flight. No apology or upgrade offer to LHR from ORD???,negative,missed ktm flight due to ur cancelled flightlation mike supervisor disgusting now day late flight no apology or upgrade offer to lhr from ord,False,original
@AmericanAir great job TYR ground crew...now let's get this bird outta here!!!  Tell flight 3200 to wait on me...be there in 45 mikes!,positive,great job tyr ground crewnow lets get this bird outta here tell flight 3200 to wait on mebe there in 45 mikes,False,original
of my tray table is broken what do i do,neutral,of my tray table is cave in what do i do,True,synonym_replacement
@united And there is no direct phone number for status match desk? I really regret Flight Booking Problems with @united now.,negative,and there is no direct phone number for status match desk i really regret flight booking problems with now,False,original
"@JetBlue Love you, bae. #JetBae",positive,love you bae jetbae,False,original
@JetBlue I would like to send an email to Lost and Found at JetBlue JFK; I spoke to them this morning but cannot drive their today.,negative,i would like to send an email to lost and found at jetblue jfk i spoke to them this morning but cannot drive their today,False,original
@AmericanAir 4th flight rebooked to is NOT Cancelled Flighted! Woo-hoo. Going to make it to @LaGuardiaAir,negative,4th flight rebooked to is not cancelled flighted woohoo going to make it to,False,original
@united @RobBogart After I waited hours in the airport being told one fib after the other. Why can't UAL be honest with its customers?,negative,after i waited hours in the airport being told one fib after the other why cant ual be honest with its customers,False,original
thank you finally got our bag customer services reps were wonderful,positive,thank you finally got our bag customer services you were wonderful,True,bert_paraphrasing
guess where ashley is shes doing a great job presenting ragandisney,positive,guess where ashley is shes doing a great occupation presenting ragandisney,True,synonym_replacement
