Sentence,Sentiment,Cleaned_Sentence
"Thank you United! “@united: @dan_roam That's a beautiful place to stay a day longer. Have you been re-booked? If not, let me know. ^MN”",positive,thank you united thats a beautiful place to stay a day longer have you been rebooked if not let me know mn
@USAirways Your policy needs a serious revision for babies.  Fortunately I have choices and choose @Southwest from here on out.,negative,your policy needs a serious revision for babies fortunately i have choices and choose from here on out
Please don't. RT “@JetBlue: Our fleet's on fleek. http://t.co/gdzadXzBYA”,neutral,please dont rt our fleets on fleek
@united I do not see where it talks about military baggage fees. Can you please guide me. Thanks,neutral,i do not see where it talks about military baggage fees can you please guide me thanks
@SouthwestAir flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over 1.5 hours with a rep this bumping us,negative,flight to atlanta getting cancelled flightled and then had to re schedule on the phone for over 15 hours with a rep this bumping us
@AmericanAir is profiting in the billions and throwing crap at the people who put them there. American is a hurting brand,negative,is profiting in the billions and throwing crap at the people who put them there american is a hurting brand
@USAirways I was eventually given a flight to Memphis but only after I was taken off my original flight bc I was checked in as my father,negative,i was eventually given a flight to memphis but only after i was taken off my original flight bc i was checked in as my father
@united Adding reservation to iOS app doesn't show up on desktop site when logged in. And miles can't be redeemed for upgrades thru your app,negative,adding reservation to ios app doesnt show up on desktop site when logged in and miles cant be redeemed for upgrades thru your app
"@AmericanAir -- This is after you Cancelled Flightled our flight into Buffalo because of ""weather"" and lied to us and said other airlines Cancelled Flightled",negative,this is after you cancelled flightled our flight into buffalo because of weather and lied to us and said other airlines cancelled flightled
@virginamerica spruce moose!,neutral,spruce moose
@jetblue is giving me false hope of ever getting home,negative,is giving me false hope of ever getting home
@USAirways getting extremely frustrated w/ the phone/online service for merging frequent flyer miles.,negative,getting extremely frustrated w the phoneonline service for merging frequent flyer miles
“@united: @BattierCCIpuppy We hope to see you on board soon and thanks for the tweet. ^EY” 👏👏,positive,we hope to see you on board soon and thanks for the tweet ey clappinghands clappinghands
"@AmericanAir way to ruin a vacation, my brother has called all night and had multiple places in line only to get dead air on call back",negative,way to ruin a vacation my brother has called all night and had multiple places in line only to get dead air on call back
.@JetBlue process begins 6:48,neutral,process begins 648
"@united I did already rebook, and now I will miss my first appointments in London tomorrow morning. Thanks for ruining my trip - AGAIN!",negative,i did already rebook and now i will miss my first appointments in london tomorrow morning thanks for ruining my trip again
@united we have tried to change our flight THREE times on the phone and got disconnected each time.,negative,we have tried to change our flight three times on the phone and got disconnected each time
@SouthwestAir Is there anyway to pay more to get priority boarding A 1-15?,neutral,is there anyway to pay more to get priority boarding a 115
@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless,negative,why would i even consider continuing your point program when i received no perks or continued bad customer service senseless
@USAirways would help if you flew bigger planes into TLH. All my team mates made it to the training but me.,negative,would help if you flew bigger planes into tlh all my team mates made it to the training but me
@southwestair @cspkcats let us know if we can help,neutral,let us know if we can help
"Social agencies, this is why we can't have nice things. @JetBlue: Our fleet's on fleek. http://t.co/QRxz0bGbtq",negative,social agencies this is why we cant have nice things our fleets on fleek
@united RTB&gt;IAH 2/17 First class. My wife (Global Services) and I had headaches due to our neighbors smoking e cigarettes. Contact me pls,negative,rtbgtiah 217 first class my wife global services and i had headaches due to our neighbors smoking e cigarettes contact me pls
"@united your website is fucked up. Now instead of a $416 flight I should’ve had yesterday, it’s $514 today. Thanks.",negative,your website is fucked up now instead of a 416 flight i shouldve had yesterday its 514 today thanks
"@AmericanAir Thank you for the worst experience ever on an airline, from me to you, I hope your embarrassed as an airline. Pathetic",negative,thank you for the worst experience ever on an airline from me to you i hope your embarrassed as an airline pathetic
"@JetBlue come on! Already delayed 2+ hrs on flight 1415 as we waited for the pilot to come from Boston, now you reassign him?! Endless trip.",negative,come on already delayed 2 hrs on flight 1415 as we waited for the pilot to come from boston now you reassign him endless trip
@united with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport,negative,with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport
@JetBlue it says it is now 9:58 you owe me,negative,it says it is now 958 you owe me
@USAirways they say connections are good still...but another reFlight Booking Problems is the last thing I need today,negative,they say connections are good stillbut another reflight booking problems is the last thing i need today
@united @perfectomobile You really shouldn't use the word 'crashing.' Just sayin'.,neutral,you really shouldnt use the word crashing just sayin
@USAirways  my flight was #3729...but I left my phone on the plane or the shuttle :(,neutral,my flight was 3729but i left my phone on the plane or the shuttle
"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",positive,another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them
@JetBlue I would like to send an email to Lost and Found at JetBlue JFK; I spoke to them this morning but cannot drive their today.,negative,i would like to send an email to lost and found at jetblue jfk i spoke to them this morning but cannot drive their today
@USAirways here's to sitting on hold for 4 hrs flight Cancelled Flighted and they disconnect twice. #fend4urself #stranded #diverted,negative,heres to sitting on hold for 4 hrs flight cancelled flighted and they disconnect twice fend4urself stranded diverted
"@AmericanAir we are off to Kax premium.  Hoping this flight is better food, TV now I know how to work it and service. Tnx",positive,we are off to kax premium hoping this flight is better food tv now i know how to work it and service tnx
@JetBlue hope so! looks nice and warm in San Juan 🌴,neutral,hope so looks nice and warm in san juan palmtree
"@united 1st u delay my flight for mechanical failure,then 2 hrs on the runway, &amp; 13 hrs Late Flightr I'm still here with a lost bag &amp; no resolution",negative,1st u delay my flight for mechanical failurethen 2 hrs on the runway amp 13 hrs late flightr im still here with a lost bag amp no resolution
@USAirways what's wrong with the plane? Flt 581,negative,whats wrong with the plane flt 581
@SouthwestAir YOU ARE THE EASIEST AIRLINE TO DEAL WITH.. I LOVEEEE YOU SO MUCH,positive,you are the easiest airline to deal with i loveeee you so much
@united despite my bag not making it to Newark good informative email tracking updates help!,positive,despite my bag not making it to newark good informative email tracking updates help
"@united it was an international flight, and we didn't get our new eta until we were in the air.",negative,it was an international flight and we didnt get our new eta until we were in the air
@USAirways i tried it but doesnt help very much and Reservation seems to be overwhelmed with some issues,negative,i tried it but doesnt help very much and reservation seems to be overwhelmed with some issues
@USAirways we will...sunday! Just a few days away,positive,we willsunday just a few days away
@USAirways understood and I am sympathetic. How do I get my $100 back? I shouldn't have to pay especially if YOU switched my flight.,negative,understood and i am sympathetic how do i get my 100 back i shouldnt have to pay especially if you switched my flight
@JetBlue cool! Are there stairs at JFK? I can walk short distances but not stairs.,positive,cool are there stairs at jfk i can walk short distances but not stairs
@AmericanAir I love your company and your staff is amazing. They just made an uncomfortable situation comfortable,positive,i love your company and your staff is amazing they just made an uncomfortable situation comfortable
"@united you could give me free flights for life, and I'd still choose to purchase my tickets from a competitor.",negative,you could give me free flights for life and id still choose to purchase my tickets from a competitor
@AmericanAir thank you for quick responses.   #aa usually has fantastic customer service. That's why I was so shocked when it wasn't there,positive,thank you for quick responses aa usually has fantastic customer service thats why i was so shocked when it wasnt there
"@united no, I have a pricey Chase Mileage Plus CC.",neutral,no i have a pricey chase mileage plus cc
@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12,negative,they helped me at the baggage service desk said bc tsa screening was down in fll not all bags made it but bag will be in ewr 12
@United OMG WHERE IS MY BAG??? YYZUA70435 - enough with the shenanigans already. It's getting real old real quick!!,negative,omg where is my bag yyzua70435 enough with the shenanigans already its getting real old real quick
@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!,positive,gave a credit for my late flight flight yesterday great service thats a wow moment unexpected gesture
@AmericanAir I tried that &amp; they have been disrespectful not professional &amp; my 2nd flight been Cancelled Flighted I have to get home for a surgeryHELP,negative,i tried that amp they have been disrespectful not professional amp my 2nd flight been cancelled flighted i have to get home for a surgeryhelp
@USAirways how is it that my flt to EWR was Cancelled Flightled yet flts to NYC from USAirways are still flying?,negative,how is it that my flt to ewr was cancelled flightled yet flts to nyc from usairways are still flying
@USAirways can i please have someone call me 781 879 4505,neutral,can i please have someone call me 781 879 4505
"@AmericanAir Just got a call from baggage dept. ""...still looking for your property"". It's went missing 1/28. PRERECORDED NO HUMAN SERVICE!!",negative,just got a call from baggage dept still looking for your property its went missing 128 prerecorded no human service
